article_id,number_images,number_citations,number_headers,number_links,number_categories,number_words,number_scentens,wiener_sachtextformel,is_excellent
6551109,0,6,5,26,5,267,24,9.0,False
5282433,0,7,6,26,5,407,24,8.5,False
4478839,1,1,6,2,1,144,18,8.8,False
118023,47,67,51,520,4,13767,666,12.2,True
168802,8,116,36,561,8,13929,985,11.9,True
1758270,1,0,1,17,9,174,9,11.4,False
5783,8,99,28,627,6,8008,432,12.5,True
5371821,15,30,8,120,11,2260,166,10.5,True
2505694,3,71,19,131,1,6534,530,9.5,True
5756,5,34,17,309,1,2872,227,11.4,True
7097293,23,112,44,236,4,11640,981,9.7,True
6582768,5,40,15,186,12,4377,344,9.6,True
6683226,5,5,7,19,8,678,53,9.9,False
8598046,0,0,0,2,0,18,1,20.6,False
36927,14,148,22,376,13,13681,1497,8.5,True
628017,32,33,14,188,8,5584,337,10.7,True
1400377,21,95,33,476,2,9217,681,11.7,True
952381,3,127,34,416,8,9429,593,9.4,True
7710845,0,0,0,4,0,58,1,21.7,False
3237303,4,17,19,160,3,2677,184,12.4,True
818755,16,88,31,419,23,6480,325,8.9,True
4417023,13,47,19,211,9,4148,226,11.3,True
8192248,0,30,8,160,4,2966,162,8.9,True
415549,17,98,48,433,3,12884,918,10.7,True
1609420,2,1,10,122,2,386,34,9.1,False
1469974,33,9,41,276,6,10192,490,12.1,True
2525758,0,0,0,0,3,6,1,21.1,False
91717,11,6,11,193,1,2758,192,11.8,True
7794397,0,1,9,31,2,505,22,12.5,False
2232727,8,20,14,63,5,1875,112,8.5,True
2056375,23,62,33,236,6,8685,517,11.5,True
2580800,18,23,17,128,4,4401,309,9.3,True
3952502,4,3,5,36,2,497,26,13.2,False
3544094,3,1,3,53,1,289,13,14.6,False
735163,9,35,39,197,1,6353,425,11.2,True
8824330,0,0,0,1,0,5,1,3.8,False
245435,16,85,23,315,13,12022,597,10.1,True
6699456,9,114,27,163,4,5935,395,9.3,True
694816,7,15,12,122,10,2762,211,9.2,True
9263944,0,0,0,2,0,23,1,16.5,False
8572347,0,1,4,10,6,148,17,15.5,False
3143824,0,0,2,12,7,274,28,9.7,False
39997,19,0,6,143,2,2114,137,11.7,True
311870,5,14,20,98,2,1810,129,11.2,True
6046373,13,64,26,155,8,5091,312,11.7,True
6340069,0,4,4,31,3,302,20,10.3,False
1142864,0,20,12,152,2,3059,191,11.3,True
846012,13,42,36,171,2,4655,297,10.5,True
535632,12,46,16,94,5,2288,132,8.9,True
6647769,3,4,6,24,4,531,34,11.3,False
187949,9,2,16,134,14,2727,169,11.1,True
343799,4,23,13,81,5,1748,117,10.5,False
6816391,2,85,21,356,3,9050,599,11.9,True
91841,8,1,20,74,4,3324,229,10.0,True
668682,2,61,22,133,6,4492,249,9.9,True
720405,1,18,26,129,6,4307,253,9.4,True
367552,0,3,3,9,2,249,19,10.9,False
3759118,0,0,0,0,3,4,1,9.5,False
2457066,0,0,1,1,0,1,1,-0.7,False
8134792,7,157,40,582,3,12095,895,11.6,True
