,Titel,Schlüsselwörter
0,4291516_cleaned,"[('tomus antiochenos', 0.6083), ('antiochenos tomus', 0.6024), ('antiochia synodalschreiben', 0.5825), ('tomus antiochia', 0.5769), ('antiochenos folgenden', 0.5706)]"
1,28430_cleaned,"[('papstzeremoniells entscheidenden', 0.4779), ('traditio apostolica', 0.4695), ('österreichischen bischofskonferenz', 0.4674), ('papstes bischof', 0.4574), ('bischofskonferenz österreichischen', 0.4557)]"
2,12672_cleaned,"[('ministerpräsidenten bismarck', 0.7477), ('bismarck ministerpräsidenten', 0.7429), ('bismarcks ministerpräsidenten', 0.7401), ('bismarck ministerpräsident', 0.7399), ('undurchdringlichkeit bismarcks', 0.7009)]"
3,1200964_cleaned,"[('australiens land', 0.6772), ('australien land', 0.6725), ('australiens ländern', 0.6593), ('landes australien', 0.6577), ('australischen landmasse', 0.6561)]"
4,11387_cleaned,"[('murales diego', 0.6734), ('rivera diego', 0.6617), ('riveras murales', 0.6604), ('monographie riveras', 0.6553), ('rivera art', 0.6492)]"
5,4271943_cleaned,"[('museum philadelphia', 0.4883), ('philadelphia museum', 0.4751), ('kunstwerken 20', 0.4607), ('pariser salon', 0.4517), ('ikone kunstgeschichte', 0.434)]"
6,117285_cleaned,"[('mythologie trojanischer', 0.6863), ('trojanischer priester', 0.6014), ('trojaner apollon', 0.5878), ('laokoongeschichte trojaner', 0.587), ('apollon trojanern', 0.5866)]"
7,183504_cleaned,"[('münchener bahn', 0.6913), ('münchen bahn', 0.6869), ('bahn münchen', 0.6727), ('munich bahn', 0.659), ('bahnfreunde munchen', 0.6424)]"
8,8390833_cleaned,"[('bremer künstlerstreit', 0.6241), ('lebendigen kunsthistoriker', 0.6118), ('berliner kunsthändlers', 0.6029), ('künstlerstreit', 0.601), ('kunstakademie königsberg', 0.5999)]"
9,134445_cleaned,"[('deinonychus dinosaurier', 0.6658), ('dinosaurier paläontologie', 0.6519), ('deinonychus dinosauria', 0.6462), ('dinosaures symposium', 0.6392), ('fossil dinosaurier', 0.6317)]"
10,99123_cleaned,"[('elefanten seekühe', 0.5406), ('seekühe extrem', 0.5017), ('seekühe bekannt', 0.5007), ('entwicklung seekühen', 0.4982), ('lunge seekühen', 0.4942)]"
11,2655245_cleaned,"[('einwohnerentwicklung potsdam', 0.7455), ('potsdam einwohnerzahl', 0.7399), ('potsdam einwohner', 0.7302), ('einwohner potsdam', 0.7234), ('stadtlandschaft potsdam', 0.6949)]"
12,47538_cleaned,"[('löwe iucn', 0.4358), ('löwenthal lateinischen', 0.4351), ('löwen iucn', 0.4289), ('afrikanischer löwen', 0.4249), ('löwen afrikanischer', 0.424)]"
13,616099_cleaned,"[('hesselberg hesselberggemeinden', 0.7779), ('veranstaltungen hesselberg', 0.7531), ('wissenswertes hesselberg', 0.7409), ('hesselbergs mittelalter', 0.7387), ('berg hesselberg', 0.7375)]"
14,2592289_cleaned,"[('monument dativius', 0.6264), ('monumenten deutschland', 0.5149), ('bogen dativius', 0.4997), ('monuments deutlicher', 0.4976), ('dativius victor', 0.4927)]"
15,202780_cleaned,"[('siamesen thailändisch', 0.6668), ('siamkatzentyp thaikatze', 0.6475), ('siamkatze thaikatze', 0.6147), ('siamkatzen siam', 0.6058), ('siamkatze siamkatzen', 0.6021)]"
16,4681_cleaned,"[('kilometer nord', 0.6718), ('sylts kilometer', 0.6118), ('kilometer nördlich', 0.6109), ('sylt nordfriesische', 0.5959), ('nordwestseite sylts', 0.595)]"
17,528096_cleaned,"[('schlacht minden', 0.5007), ('minden kriegsgeschichtliche', 0.4962), ('wolfenbüttel französisch', 0.4852), ('war kriegsgeschichtliche', 0.4808), ('minden schlacht', 0.4801)]"
18,1769059_cleaned,"[('massakers srebrenica', 0.6715), ('massaker srebrenica', 0.6473), ('srebrenica massaker', 0.6371), ('massaker gleichzeitig', 0.6352), ('massakers angehörigen', 0.6114)]"
19,27188_cleaned,"[('vögel mitteleuropas', 0.5315), ('habitatsansprüche neuntöters', 0.5278), ('neuntöters würgern', 0.5152), ('würger laniidae', 0.5134), ('würgerarten neuntöter', 0.5075)]"
20,328984_cleaned,"[('taxon häutungstiere', 0.432), ('wurmartiger organismen', 0.4244), ('cuticula struktur', 0.4071), ('segmenten cuticula', 0.4021), ('mundstiletten cuticula', 0.3964)]"
21,83952_cleaned,"[('schulz comics', 0.6348), ('schulz cartoonist', 0.6177), ('schulz comic', 0.6155), ('comicserie schulz', 0.6028), ('charles schulz', 0.5946)]"
22,208569_cleaned,"[('hindenburg reichspräsidentenwahl', 0.6851), ('hindenburgs reichspräsidenten', 0.6802), ('hindenburg reichskanzlerschaft', 0.6521), ('hindenburg reichsblock', 0.6431), ('reichsblocks hindenburg', 0.6393)]"
23,296443_cleaned,"[('münsters konservatorischen', 0.6622), ('baugeschichte münsters', 0.66), ('münsters basler', 0.6597), ('basler münsters', 0.6574), ('münster münsters', 0.6523)]"
24,328324_cleaned,"[('moskauer metro', 0.6286), ('moskauer metrosystem', 0.625), ('moskaus metro', 0.6004), ('architektur metrostationen', 0.5774), ('moskauer metrogeschichte', 0.5625)]"
25,3297610_cleaned,"[('filmanalyse becketts', 0.7063), ('filmneulinge beckett', 0.6667), ('beckett schwarzweißfilm', 0.6595), ('film beckett', 0.6594), ('films beckett', 0.649)]"
26,3721530_cleaned,"[('bisphosphoglyceratmutase enzym', 0.6114), ('enzym bisphosphoglyceratmutase', 0.6067), ('bisphosphoglyceratmutase zentralen', 0.5579), ('bilanz bisphosphoglyceratmutase', 0.5413), ('regulierung bisphosphoglyceratmutase', 0.5292)]"
27,933987_cleaned,"[('wetzlarer domes', 0.5431), ('domes längsten', 0.4435), ('dombauverwaltung wetzlarer', 0.4211), ('wetzlarer domorgel', 0.4066), ('nebenaltäre sakramentshaus', 0.3947)]"
28,4083042_cleaned,"[('militärgerichts dora', 0.5217), ('dachauer dora', 0.5068), ('prozess dachauer', 0.4876), ('dachauer prozesse', 0.4869), ('dachauer prozesses', 0.486)]"
29,4280783_cleaned,"[('bedeutung embryologischen', 0.6971), ('embryologie evolutionstheorie', 0.682), ('embryologischen forschung', 0.6539), ('embryologie', 0.6427), ('embryologie schwere', 0.639)]"
30,141078_cleaned,"[('species megatherium', 0.7268), ('megatherium megatheriidae', 0.7206), ('megatheriidae entfernt', 0.7068), ('megatheriidae gattung', 0.689), ('megatherioidea klassischen', 0.6849)]"
31,24949_cleaned,"[('ludwig xiv', 0.63), ('ludwigs xiv', 0.6232), ('versailles ludwig', 0.577), ('versailles französischer', 0.5652), ('französischen geschichte', 0.5609)]"
32,1535510_cleaned,"[('smith jedediah', 0.5758), ('smith river', 0.5637), ('missouri smith', 0.5497), ('mountains jedediah', 0.5367), ('smith valley', 0.535)]"
